Sl. No.,Year,Area affected in m.ha.,Population affected in million,Damage   to  Crops Area in m. ha.,Value in Rs.Crore,Damage to Houses Nos.,Value in Rs.Crore,Cattle  Lost Nos.,Human live Lost Nos.,Damage to Public Utilities in Rs.Crore,"Total damages Crops, Houses & Public utilities in Rs.Crore (col.6+8+11)"
1,1953,2.29,24.28,0.93,42.08,264924,7.42,47034,37,2.9,52.4
2,1954,7.49,12.92,2.61,40.52,199984,6.561,22552,279,10.15,57.231
3,1955,9.44,25.27,5.31,77.8,1666789,20.945,72010,865,3.98,102.725
4,1956,9.24,14.57,1.11,44.44,725776,8.047,16108,462,1.14,53.627
5,1957,4.86,6.76,0.45,14.12,318149,4.979,7433,352,4.27,23.369
6,1958,6.26,10.98,1.4,38.28,382251,3.896,18439,389,1.79,43.966
7,1959,5.77,14.52,1.54,56.76,648821,9.418,72691,619,20.02,86.198
8,1960,7.53,8.35,2.27,42.55,609884,14.309,13908,510,6.31,63.169
9,1961,6.56,9.26,1.97,24.04,533465,0.889,15916,1374,6.44,31.369
10,1962,6.12,15.46,3.39,83.18,513785,10.655,37633,348,1.05,94.885
11,1963,3.49,10.93,2.05,30.17,420554,3.701,4572,432,2.74,36.611
12,1964,4.9,13.78,2.49,56.87,255558,4.588,4956,690,5.149,66.607
13,1965,1.46,3.61,0.27,5.87,112957,0.195,7286,79,1.07,7.135
14,1966,4.74,14.4,2.16,80.15,217269,2.544,9071,180,5.736,88.43
15,1967,7.12,20.46,3.27,133.31,567995,14.264,5827,355,7.857,155.431
16,1968,7.15,21.17,2.62,144.61,682704,41.112,130305,3497,25.373,211.095
17,1969,6.2,33.22,2.91,281.9,1268660,54.423,270328,1408,68.112,404.435
18,1970,8.46,31.83,4.91,162.78,1434030,48.606,19198,1076,76.441,287.827
19,1971,13.25,59.74,6.24,423.13,2428031,80.241,12866,994,129.113,632.484
20,1972,4.1,26.69,2.45,98.56,897301,12.46,58231,544,47.174,158.194
21,1973,11.79,64.08,3.73,428.03,869797,52.482,261016,1349,88.489,569.001
22,1974,6.7,29.45,3.33,411.64,746709,72.434,16846,387,84.942,569.016
23,1975,6.17,31.36,3.85,271.49,803705,34.097,17345,686,166.05,471.637
24,1976,11.91,50.46,6.04,595.03,1745501,92.16,80062,1373,201.495,888.685
25,1977,11.46,49.43,6.84,720.61,1661625,152.29,556326,11316,328.948,1201.848
26,1978,17.5,70.45,9.96,911.09,3507542,167.574,239174,3396,376.1,1454.764
27,1979,3.99,19.52,2.17,169.97,1328712,210.606,618248,3637,233.627,614.203
28,1980,11.46,54.12,5.55,366.37,2533142,170.851,59173,1913,303.283,840.504
29,1981,6.12,32.49,3.27,524.56,912557,159.63,82248,1376,512.314,1196.504
30,1982,8.87,56.01,5,589.4,2397365,383.869,246750,1573,671.607,1644.876
31,1983,9.02,61.03,3.29,1285.85,2393722,332.327,153095,2378,873.429,2491.606
32,1984,10.71,54.55,5.19,906.09,1763603,181.308,141314,1661,818.164,1905.562
33,1985,8.38,59.59,4.65,1425.37,2449878,583.855,43008,1804,2050.043,4059.268
34,1986,8.81,55.5,4.58,1231.58,2049277,534.41,60450,1200,1982.535,3748.525
35,1987,8.89,48.34,4.94,1154.64,2919380,464.49,128638,1835,950.59,2569.72
36,1988,16.29,59.55,10.15,2510.9,2276533,741.6,150996,4252,1377.8,4630.3
37,1989,8.06,34.15,3.01,956.74,782340,149.82,75176,1718,1298.77,2405.33
38,1990,9.303,40.259,3.179,695.61,1019930,213.733,134154,1855,455.266,1708.92
39,1991,6.357,33.889,2.698,579.015,1134410,180.421,41090,1187,728.893,1488.329
40,1992,2.645,19.256,1.748,1027.578,687489,306.284,78669,1533,2010.67,3344.532
41,1993,11.439,30.409,3.206,1308.627,1926049,528.324,211193,2864,1445.534,3282.485
42,1994,4.805,27.548,3.963,888.622,914664,165.206,52315,2078,740.762,1794.59
43,1995,5.245,35.932,3.245,1714.787,2001898,1307.894,62438,1814,679.627,3702.308
44,1996,8.049,44.729,3.827,1124.491,726799,176.589,73208,1803,861.393,3005.743
45,1997,4.569,29.663,2.258,692.743,505128,152.504,27754,1402,1985.934,2831.181
46,1998,10.845,47.435,7.495,2594.167,1932874,1108.783,107098,2889,5157.771,8860.721
47,1999,7.765,27.993,1.753,1850.873,1613260,1299.057,91289,745,462.83,3612.76
48,2000,5.382,45.013,3.58,4246.622,2628855,680.943,123252,2606,3936.979,8864.544
49,2001,6.175,26.463,3.964,688.481,716187,816.474,32704,1444,5604.461,7109.416
50,2002,7.09,26.323,2.194,913.092,762492,599.368,21533,1001,1062.083,2574.543
51,2003,6.12,43.201,4.268,7307.23,775379,756.481,15161,2166,3262.154,11325.866
52,2004,5.314,43.725,2.888,778.694,1664388,879.601,134106,1813,1656.09,3314.385
53,2005,12.562,22.925,12.299,2370.923,715749,380.531,119674,1455,4688.219,7439.672
54,2006,1.096,25.224,1.822,2850.668,1497428,3636.848,266945,1431,13303.926,19790.922
55,2007,7.145,41.402,8.795,3121.532,3280233,2113.108,89337,3389,8049.037,13283.677
56,2008,3.427,29.91,3.186,3401.563,1566809,1141.891,101780,2876,5046.481,9589.935
57,2009,3.844,29.537,3.592,4232.609,1235628,10809.795,63383,1513,17509.353,32551.758
58,2010,2.624,18.297,4.994,5887.38,293830,875.952,39706,1582,12757.253,19520.586
59,2011,1.895,15.973,2.718,1393.847,1152518,410.475,35982,1761,6053.57,7857.892
60,2012,2.141,14.689,1.95,1534.108,174526,240.572,31558,933,9169.968,10944.648
61,2013,7.546,25.927,7.484,6378.078,699525,2032.83,163958,2180,38937.843,47348.751
62,2014,12.775,26.505,8.007,7255.151,311325,581.978,60196,1968,7710.948,15548.077
63,2015,4.478,33.203,3.374,17043.948,3959191,8046.969,45597,1420,32200.182,57291.098
64,2016,7.065,26.555,6.658,4052.723,278240,114.676,22367,1420,1507.926,5675.325
,TOTAL,460.26,2040.266,251.047,102273.643,79465079,44390.344,6022676,105472,199730.154,347581.201
,AVG,7.192,31.879,3.923,1598.026,1241642,693.599,94104,1648,3120.784,5430.956
,MAX,17.5,70.45,12.299,17043.948,3959191,10809.795,618248,11316,38937.843,57291.098
,(YEAR),1978,1978,2005,2015,2015,2009,1979,1977,2013,2015
