Sl. No.,Year,"Area affec- ted
(m.ha)","Population affected
in
(million)",Damage to Crops Area (m.ha.),Value (Rs.Crore),Damage to Houses Nos.,Value (Rs.Crore),Cattle lost nos.,"Human lives lost
nos.","Damage to public utilities
(Rs.Crore)","Total damages crops,houses & public utilities
(Rs.Crore)"
1,1953,Neg,Neg,Neg,0.02,181,0.01,6,3,Nil,0.03
2,1954,0.01,0,0.01,0.17,983,0.04,48,Nil,Nil,0.21
3,1955,0.92,Nil,0.92,15.98,627100,15.08,56100,477,Nil,31.06
4,1956,0.06,Nil,0.06,0.8,8014,0.18,567,8,Nil,0.98
5,1957,0.08,Nil,0.08,1.61,5100,0.03,108,288,Nil,1.64
6,1958,0.99,2.18,0.43,18.1,94500,2.23,810,50,Nil,20.33
7,1959,0.16,0.13,0.06,1.75,3074,0.04,2,4,Nil,1.79
8,1960,0.46,1.38,0.37,9.94,42100,2.35,311,19,Nil,12.29
9,1961,0.21,0.89,0.2,4.72,19394,0.05,47,14,0.006,4.776
10,1962,1.73,4.3,0.97,24.32,262411,6.67,2159,98,0.08,31.07
11,1963,0.04,0.11,0.02,0.48,2120,0.12,9,7,0.006,0.606
12,1964,0.85,1.74,0.33,15.1,26460,0.52,526,40,0.5,16.12
13,1965,Neg,Neg,Neg,0.02,8,Neg,1,1,0.01,0.03
14,1966,0.25,1.19,0.18,8.27,52030,0.89,424,22,0.2,9.36
15,1967,0.03,0.16,0.04,2.67,687,0.04,13,1,0.055,2.765
16,1968,0.07,0.29,0.06,6.17,3921,0.15,2,7,0.004,6.324
17,1969,0.04,0.39,0.02,1.05,1253,0.04,157,19,Neg,1.09
18,1970,0.01,0.01,0.01,0.31,1811,0.04,5,1,Nil,0.35
19,1971,0.11,0.27,0.06,4.62,18231,0.59,156,20,0.008,5.218
20,1972,0.04,0.02,0.01,0.53,587,0.06,6,5,Nil,0.59
21,1973,0.17,0.28,0.08,7.1,30500,0.93,251,36,0.027,8.057
22,1974,Neg,Neg,Neg,Neg,1000,0.04,3,2,Nil,0.04
23,1975,0.1,0.38,0.05,4.03,52228,5.57,513,35,0.46,10.06
24,1976,0.36,1.62,0.22,36.4,282883,9.79,1803,129,3.39,49.58
25,1977,0.01,0.22,0.01,0.69,782,0.06,95,11,0.09,0.84
26,1978,0.15,0.37,0.11,22.05,36974,2.52,148,17,0.4,24.97
27,1979,Neg,Neg,Neg,0.44,Nil,Nil,Nil,Nil,Nil,0.44
28,1980,0.05,0.09,0.05,4.32,19244,0.75,113,47,0.02,5.09
29,1981,0.02,0.05,0.02,1.63,8186,0.88,43,6,0.11,2.62
30,1982,Neg,Neg,Neg,Neg,16,0.007,Nil,1,Nil,0.007
31,1983,0.04,0.27,0.04,7.35,16953,0.79,27,13,0.21,8.35
32,1984,Neg,0.02,Neg,0.56,15712,0.58,1,Nil,Nil,1.14
33,1985,0.86,1.72,0.14,42.12,302204,140.34,2586,152,55.19,237.65
34,1986,0.05,0.16,0.05,5.95,9683,2,14,7,63.82,71.77
35,1987,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
36,1988,2.79,4.3,2.79,519.9,552003,293.43,66335,699,457.62,1270.95
37,1989,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
38,1990,0.004,0.1,0.004,4.43,10795,1.25,258,7,34.64,40.32
39,1991,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
40,1992,0.024,0,0.024,0,0,0,Nil,3,0,0
41,1993,0.788,3.485,0.201,348.21,147608,0,8586,359,477,825.21
42,1994,0.062,0.029,0.062,0,958,0,38,41,0,0
43,1995,0.28,2.656,0.276,182.54,144652,109.84,1301,157,187.47,479.85
44,1996,Neg,0,0,0,26,0,1,13,0,0
45,1997,0.086,0,0.086,0,10685,0,75,22,0,0
46,1998,1.662,Neg,1.662,9.264,529,0.157,5,13,0.025,9.446
47,1999,0.664,Neg,0.664,2.493,Nil,0.118,Nil,4,Nil,2.611
48,2000,1.492,Neg,1.492,10.07,86,0.149,7,9,0.025,10.244
49,2001,1.759,Nil,1.759,5.724,10,0.063,1,7,0.002,5.789
50,2002,0.074,Nil,0.074,2.965,6,0.045,1,Nil,Nil,3.01
51,2003,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
52,2004,Neg,Nil,Neg,Nil,771,Nil,6,13,Nil,Nil
53,2005,0,0,0,0,0,0,0,0,0,0
54,2006,0,0,0,0,0,0,0,0,0,0
55,2007,0,0,0,0,0,0,0,0,0,0
56,2008,0,0.195,0.207,0,13161,0,90,38,0,0
57,2009,0,0,0.005,0,72,0,0,8,0,0
58,2010,0.016,0.4,0.018,132.021,2040,3.131,108,38,133.323,268.475
59,2011,0,0,0.197,59.56,2538,6.473,28901,38,31.19,97.223
60,2012,0.003,0,0.003,0,149,0.131,3034,8,0,0.131
61,2013,0.164,0.009,0.11,136.46,36258,26.51,954,44,169,331.97
62,2014,0.043,0.4,0.043,49.71,36445,21.59,127,44,49,120.3
63,2015,0.037,0.032,0.037,63.86,462,2.68,23,11,98,164.54
64,2016,0.001,0,0.001,1.14,20,0.025,0,13,0.495,1.66
,TOTAL,17.819,29.846,14.314,1777.617,2905604,658.979,176905,3129,1762.376,4198.972
,Average,0.343,0.649,0.27,31.186,50097,11.561,3159,56,41.961,71.169
,Maximum,2.79,4.3,2.79,519.9,627100,293.43,66335,699,477,1270.95
,(Year),(1988),(1988),(1988),(1988),(1955),(1988),(1988),(1988),(1993),(1988)
